clusterID,estimated_snowballing_pvalue,max_norm_cell_type_specificity,max_norm_disease_specificity,max_plof,mean_plof,median_plof,num_cell_type_string,num_disease_string,num_of_diseases,num_sig_go_enrichment_terms,std_plof,sum_plof,avg_embeddedness,avg_internal_degree,cluster_size,conductance,cut_ratio,edges_inside,expansion,gene_ratio,hub_dominance,internal_edge_density,newman_girvan_modularity,normalized_cut,significance,surprise,triangle_participation_ratio
paris.cesna.2021:4523,0.11838111281394958,0.1875,0.4375,69,24.1875,18.5,1,1,19,20,18.7766477306254,387,0.2098111033281185,4.333333333333333,24,0.9948353776630084,0.0233975706610605,52,834.7083333333334,0.6666666666666666,0.9565217391304348,0.1884057971014492,-2.1635147990684323e-6,0.9964517635377984,643.5721595840461,104.88507773396222,0.6666666666666666
paris.cesna.2021:4531,0.41186922788619995,0.3,0.2,42,21.8,19,1,2,8,0,11.754904413808635,218,0.0030628969095903,3.8181818181818175,11,0.9971242725094146,0.0370967577591652,21,1323.909090909091,0.9090909090909092,0.7,0.3818181818181818,-1.393153736801912e-6,0.9982998180305844,277.2686086728901,56.64244417361691,0.7272727272727273
paris.cesna.2021:4532,0.006788002792745829,0.3333333333333333,0.6666666666666666,84,56.333333333333336,62,1,4,11,25,29.702974037403504,338,0.0920636010248179,7.052631578947368,19,0.9847727272727272,0.0127832192589096,67,456.10526315789474,0.3157894736842105,1,0.391812865497076,-4.249634367529594e-7,0.9854725971353748,886.8078857682258,182.40441173471268,1
paris.cesna.2021:4542,0.23450201749801636,0.1428571428571428,0.2857142857142857,65,31.857142857142858,29,6,1,7,0,18.54210138602213,223,0.0210363696562814,4,8,0.9963661140131728,0.0307290353310358,16,1096.75,0.875,1,0.5714285714285714,-5.06469484704339e-7,0.9970746939846682,219.99529606416303,49.47225158230183,1
paris.cesna.2021:4557,0.10498939454555511,0.2857142857142857,0.2857142857142857,59,34.57142857142857,29,2,1,6,14,21.63220702915865,242,0.0366604675963577,3.7777777777777777,9,0.9922321224583048,0.0135207496653279,17,482.55555555555554,0.7777777777777778,0.75,0.4722222222222222,-1.2512641875203988e-7,0.9925829846559042,229.1638058721139,49.38322686650029,0.8888888888888888
paris.cesna.2021:4558,0.17809641361236572,0.5,0.5,14,7,7,2,1,2,0,9.899494936611664,14,0.0994324933557228,2,6,0.9878048780487804,0.0045387050682206,6,162,0.3333333333333333,0.4,0.4,2.361244239439618e-7,0.9878834252170824,79.57359757296777,16.45573322946544,0
paris.cesna.2021:4559,0.04429705813527107,0.1578947368421052,0.3157894736842105,101,23.26315789473684,10,1,1,9,0,29.074314944185428,442,0.0183533750064635,6.869565217391305,23,0.9937089388811468,0.0304150397051726,79,1085.0869565217392,0.8260869565217391,0.8636363636363636,0.3122529644268774,-4.119668649518808e-6,0.9957218324658822,1023.5533186464136,197.6420535156352,0.9130434782608696
paris.cesna.2021:4575,0.0056128911674022675,0.2307692307692307,0.8461538461538461,27,11.538461538461538,8,1,1,3,0,8.856404317548822,150,0.0682722129732912,21.2,45,0.9565712204670642,0.0130968630604015,477,466.9555555555556,0.2888888888888888,1,0.4818181818181818,-3.1516459346645664e-6,0.9582666609963792,6443.106335527397,1395.05281629913,1
paris.cesna.2021:4576,0.005549311637878418,0.375,0.625,39,20.625,18.5,1,1,4,0,11.915625995185602,165,0.032378154518578,12.846153846153848,26,0.9799483700546316,0.0175989597821235,167,627.8076923076923,0.3076923076923077,1,0.5138461538461538,-1.81213059594144e-6,0.9812658290947954,2270.632604490024,498.948574519171,1
paris.cesna.2021:4602,0.05035317689180374,0.1176470588235294,0.2352941176470588,121,23.794117647058822,16.5,1,1,16,65,23.410408733651977,809,0.0665326803528201,14.38095238095238,42,0.9715000235926956,0.0137480518752078,302,490.2142857142857,0.8095238095238095,0.926829268292683,0.3507549361207898,-1.882854761481517e-6,0.9731612634671324,3955.4754004593774,789.632174258268,1
paris.cesna.2021:4610,0.046685196459293365,0.3,0.3,213,38.9,24,1,1,8,14,62.35819468557797,389,0.0285291551041655,7.333333333333333,12,0.9933419081485964,0.0306577558588094,44,1094.0833333333333,0.8333333333333334,0.9090909090909092,0.6666666666666666,-1.0601209844168462e-6,0.9944018258303952,615.5610495750169,142.7246129333478,1
paris.cesna.2021:4633,0.02458447404205799,0.5,0.75,106,61.5,48,2,1,6,18,29.82728057779768,246,0.0288792770028874,4,8,0.9948544782119312,0.0216686279454204,16,773.375,0.5,0.8571428571428571,0.5714285714285714,-1.0153805313623114e-8,0.9953542389132278,219.99529606416303,49.47225158230183,0.875
